#Monitoring-Site	Remote-Site	?	Oct2014	Sep2014	Aug2014	Jul2014	Jun2014	May2014	Apr2014	Mar2014	Feb2014	Jan2014	Dec2013	Nov2013	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region
PK.NCP.EDU.N3	MR.AFE.N1	?B	283.246	293.151	369.542	431.730	437.730	483.766	480.536	456.693	403.472	377.620	393.370	462.029	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.afe.mr	MR	Africa
PK.NCP.EDU.N3	MU.UTM.AC.N1	?B	435.191	385.567	416.146	282.175	290.528	400.802	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.utm.ac.mu	MU	Africa
PK.NCP.EDU.N3	MX.UIA.N1	?B	309.492	311.910	322.667	312.933	321.488	339.719	328.149	388.199	313.833	315.458	311.203	331.409	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.uia.mx	MX	Latin_America
PK.NCP.EDU.N3	MY.UM.PINGER	?M	144.899	139.119	155.288	136.000	153.688	157.810	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.fsktm.um.edu.my	MY	S.E._Asia
PK.NCP.EDU.N3	MY.UNIMAS.N4	?M	155.259	159.707	161.886	148.668	174.922	212.159	211.028	224.136	242.092	230.474	201.431	174.498	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.unimas.my	MY	S.E._Asia
PK.NCP.EDU.N3	MZ.UEM.N1	?B	357.383	386.943	421.020	388.865	402.551	369.413	347.958	321.290	343.872	323.598	326.819	409.656	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.uem.mz	MZ	Africa
PK.NCP.EDU.N3	NA.ADSL-ISP.COM.N1	?r	343.113	345.821	357.423	337.305	353.388	380.356	378.972	444.110	423.278	371.228	398.950	402.700	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.adsl.com.na	NA	Africa
PK.NCP.EDU.N3	NP.NREN.NET.N2	?B	272.121	253.352	242.960	222.284	261.050	259.367	255.358	260.203	293.389	292.537	274.138	264.336	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.nren.net.np	NP	South_Asia
PK.NCP.EDU.N3	PA.EDU.INSTITUTOKILPATRICK.N1	?B	378.350	385.192	396.051	389.762	387.559	386.895	383.871	393.744	405.536	411.243	406.084	405.501	pinger-ncp.ncp.edu.pk	PK	South_Asia	institutokilpatrick.edu.pa	PA	Latin_America
PK.NCP.EDU.N3	PH.USEP.EDU.N1	?B	483.174	485.775	495.406	472.304	482.968	516.889	503.576	522.405	475.904	490.396	490.301	481.816	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.usep.edu.ph	PH	S.E._Asia
PK.NCP.EDU.N3	PK.AIOU.EDU.N2	?M	1.871	7.133	1.877	1.846	1.893	2.091	1.788	1.691	1.699	1.705	1.692	1.763	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.aiou.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.AIRUNIVERSITY.EDU.N2	?M	2.763	2.774	2.768	2.635	2.764	.	.	.	.	.	2.798	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	airuniversity.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.AUP.SEECS.EDU	?M	4.898	5.779	5.847	6.015	5.501	6.076	5.183	5.037	5.002	5.599	4.957	5.391	pinger-ncp.ncp.edu.pk	PK	South_Asia	aup.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.BUITMS.SEECS.EDU	?M	.	36.983	34.808	30.524	32.817	33.377	33.732	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	buitms.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.CAE.SEECS.EDU	?M	.	.	.	.	.	.	.	.	.	.	.	98.675	pinger-ncp.ncp.edu.pk	PK	South_Asia	cae.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.CEMB.EDU.N2	?M	19.531	8.722	8.247	8.732	8.082	9.280	9.222	7.544	7.411	9.263	7.889	7.481	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.cemb.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.COMSATS.EDU.N2	?M	53.227	56.547	52.462	52.521	53.698	55.769	65.385	63.081	59.387	68.170	83.694	59.015	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.comsats.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.GIKI.EDU.N3	?r	.	7.108	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.giki.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.KINNAIRD.SEECS.EDU	?M	14.155	8.836	8.762	8.833	8.496	9.438	10.120	7.992	8.150	8.623	8.254	7.906	pinger-ncp.ncp.edu.pk	PK	South_Asia	kinnaird.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.KOHAT.EDU.N2	?M	6.435	7.578	.	.	.	.	.	.	6.433	7.095	6.512	6.627	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.kohat.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.LCWU.EDU.N2	?M	14.032	8.750	7.228	8.179	8.131	16.418	9.847	7.240	7.475	8.714	7.314	7.541	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.lcwu.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.NCA.EDU.N2	?M	13.243	9.025	8.477	8.678	8.452	9.710	9.835	7.956	7.611	12.161	8.070	7.839	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.nca.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.NU.EDU.N2	?M	13.200	8.872	8.358	8.661	8.278	9.882	9.695	7.714	7.100	9.534	8.061	7.676	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.lhr.nu.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.NUISB.SEECS.EDU	?M	1.727	1.727	1.725	1.695	1.746	1.733	1.907	1.733	1.732	1.742	1.731	1.808	pinger-ncp.ncp.edu.pk	PK	South_Asia	nuisb.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.NUKHIMAIN.SEECS.EDU	?M	35.331	33.695	32.895	33.387	32.510	34.270	33.202	33.908	34.800	32.959	31.480	32.870	pinger-ncp.ncp.edu.pk	PK	South_Asia	nukhimain.seecs.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.NUML.EDU	?M	6.407	4.687	2.386	2.420	3.428	2.386	2.612	2.650	3.160	2.454	3.973	2.597	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.numl.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.NWFPUET.EDU.N1	?M	4.841	5.669	5.824	5.714	5.478	5.544	5.745	5.253	5.226	5.800	5.110	5.627	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.nwfpuet.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PERN.EDU.N1	?M	1.534	1.538	1.535	1.502	1.561	1.792	.	1.536	1.547	1.579	1.535	1.570	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PERNFSBDPOP.EDU.N1	?M	13.869	13.291	13.972	13.109	14.331	30.953	.	.	12.767	27.288	35.331	32.874	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerfsbd.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PERNKHIPOP.EDU.N2	?M	34.667	32.848	31.450	32.367	31.681	31.922	30.697	34.272	34.452	31.916	33.391	32.812	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerkhi.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PERNLHRPOP.EDU.N1	?M	24.813	11.986	8.056	8.043	7.958	8.721	9.511	7.551	7.245	9.023	7.690	7.451	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerlhr.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PERNMTNPOP.EDU.N2	?M	20.014	19.079	19.083	18.977	19.497	26.690	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingermtn.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PERNPWRPOP.EDU.N2	?M	.	.	.	217.925	134.465	109.876	106.999	75.478	.	117.244	105.906	89.835	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerpwr.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PERNSINDHUPOP.EDU.N2	?M	28.870	28.813	28.434	31.141	39.817	121.084	75.004	30.248	27.997	36.716	45.825	36.019	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerjms.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PIEAS.EDU.N2	?M	1.431	1.441	1.445	1.429	1.418	1.416	1.403	1.407	1.419	1.419	1.413	1.449	pinger-ncp.ncp.edu.pk	PK	South_Asia	ns3.pieas.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PINGER.IBA-SUK.EDU	?M	.	.	.	.	.	.	.	.	.	.	.	39.110	pinger-ncp.ncp.edu.pk	PK	South_Asia	pinger.iba-suk.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PINGERISL-AIR.PERN_EDU.N1	?M	2.251	2.310	2.340	2.132	2.223	1.847	2.217	2.219	2.219	2.217	2.217	2.293	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerisl-air.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PINGERISL-FJWU.PERN.EDU	?M	1.959	1.212	1.220	1.251	1.292	1.467	1.996	1.170	1.170	1.171	1.169	1.318	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerisl-fjwu.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PINGERISL-QAU.PERN.EDU	?M	0.518	0.524	0.518	0.528	0.553	0.521	1.775	1.062	1.475	1.058	.	3.168	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerisl-qau.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PINGERKHI-CPSP.PERN.EDU	?M	32.651	32.631	44.946	32.679	33.889	27.913	29.081	32.776	32.447	43.066	47.617	32.640	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia
PK.NCP.EDU.N3	PK.PINGERKHI-UOK.PERN.EDU	?M	32.698	32.768	40.274	32.979	.	.	.	32.873	32.446	37.468	47.000	32.486	pinger-ncp.ncp.edu.pk	PK	South_Asia	pingerkhi-uok.pern.edu.pk	PK	South_Asia
